time,id,name,artists,link,playlist
2022-04-17T14:30:17,21AziTMaZwcLflGMAj85o5,All 4 Nothing (I'm So In Love),Lauv,https://open.spotify.com/track/21AziTMaZwcLflGMAj85o5,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T14:27:14,6Z165JvPnS8PYvGW8oLGLc,Flowers,Lauren Spencer-Smith,https://open.spotify.com/track/6Z165JvPnS8PYvGW8oLGLc,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T14:24:37,7AYP21Q4qnxw2WxETEvSRb,Memories,Conan Gray,https://open.spotify.com/track/7AYP21Q4qnxw2WxETEvSRb,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T14:20:27,705dwKmZCd7ImAUyyD6Mpm,psychofreak (feat. WILLOW),Camila Cabello;WILLOW,https://open.spotify.com/track/705dwKmZCd7ImAUyyD6Mpm,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T14:17:06,1PckUlxKqWQs3RlWXVBLw3,About Damn Time,Lizzo,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T14:13:53,1rDQ4oMwGJI7B4tovsBOxc,First Class,Jack Harlow,https://open.spotify.com/track/1rDQ4oMwGJI7B4tovsBOxc,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T14:10:58,4LRPiXqCikLlN15c3yImP7,As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T16:57:00,7mFj0LlWtEJaEigguaWqYh,Sweetest Pie,Megan Thee Stallion;Dua Lipa,https://open.spotify.com/track/7mFj0LlWtEJaEigguaWqYh,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T16:53:39,59CfNbkERJ3NoTXDvoURjj,Boyfriend,Dove Cameron,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T16:51:05,39ZVkOVxjG8ypNdUSVNkxU,Mr. Forgettable,David Kushner,https://open.spotify.com/track/39ZVkOVxjG8ypNdUSVNkxU,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T16:47:57,0YpaoMOUSP3jwZ4RgqNESG,"OPEN A WINDOW (feat. Tyler, The Creator)","Rex Orange County;Tyler, The Creator",https://open.spotify.com/track/0YpaoMOUSP3jwZ4RgqNESG,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T16:44:18,5iFQfP3AqVnHHS89LKQisL,Anyone For You (Tiger Lily),George Ezra,https://open.spotify.com/track/5iFQfP3AqVnHHS89LKQisL,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T16:41:11,5dry5tz8yLcLuOJ3l6ZEQd,Used To Know Me,Charli XCX,https://open.spotify.com/track/5dry5tz8yLcLuOJ3l6ZEQd,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T16:38:44,1D2ZNECRd7KIlA4pyOUGsv,What Would You Do?,Joel Corry;David Guetta;Bryson Tiller,https://open.spotify.com/track/1D2ZNECRd7KIlA4pyOUGsv,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T17:00:07,75UUG6x5zQe0gCVOiQpa6X,In The Dark,Purple Disco Machine;Sophie and the Giants,https://open.spotify.com/track/75UUG6x5zQe0gCVOiQpa6X,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-18T10:16:50,1PckUlxKqWQs3RlWXVBLw3,About Damn Time,Lizzo,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-18T10:13:38,1rDQ4oMwGJI7B4tovsBOxc,First Class,Jack Harlow,https://open.spotify.com/track/1rDQ4oMwGJI7B4tovsBOxc,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-18T10:10:43,4LRPiXqCikLlN15c3yImP7,As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-18T10:07:55,0bBd6K5X4W7t9GyXcaVOA7,Sigue,J Balvin;Ed Sheeran,https://open.spotify.com/track/0bBd6K5X4W7t9GyXcaVOA7,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
